Sample	Population	Sex	Run	Lane	Estimated_Coverage	Lifestyle	Lifestyle1	Lifestyle2	Year	Island	Coordinates.x	Coordinates.y	Locality	EBI_Metagenomics_Run_ID
AE08	Aeta	M	1	4	~7-15X	Hunter-gatherer	Hunter-gatherer	Hunter-gatherer	2008	Luzon	15.38	120.27	Luzon_Mount	ERR1474564
AE10	Aeta	M	1	3	~7-15X	Hunter-gatherer	Hunter-gatherer	Hunter-gatherer	2008	Luzon	15.38	120.27	Luzon_Mount	ERR1474565
AE12	Aeta	F	1	1	~7-15X	Hunter-gatherer	Hunter-gatherer	Hunter-gatherer	2008	Luzon	15.38	120.27	Luzon_Mount	ERR1474566
AE61	Aeta	F	1	2	~7-15X	Hunter-gatherer	Hunter-gatherer	Hunter-gatherer	2008	Luzon	15.38	120.27	Luzon_Mount	ERR1474567
AG09	Agta	M	3	3	~20X	Hunter-gatherer	Hunter-gatherer	Hunter-gatherer	2009	Luzon	16.04	121.7	Luzon_Coast	ERR1474580
AG27	Agta	F	3	1	~20X	Hunter-gatherer	Hunter-gatherer	Hunter-gatherer	2009	Luzon	16.04	121.7	Luzon_Coast	ERR1474581
AG44	Agta	F	3	2	~20X	Hunter-gatherer	Hunter-gatherer	Hunter-gatherer	2009	Luzon	16.04	121.7	Luzon_Coast	ERR1474582
AG57	Agta	M	3	4	~20X	Hunter-gatherer	Hunter-gatherer	Hunter-gatherer	2009	Luzon	16.04	121.7	Luzon_Coast	ERR1474583
B29	Tagbanua	M	2	8	~3-8X	Agriculturalist	Traditional farmer	Admixed	2007	Palawan	9.6	118.5	Palawan_Mount	ERR1474572
B33	Tagbanua	F	2	5	~3-8X	Agriculturalist	Traditional farmer	Admixed	2007	Palawan	9.6	118.5	Palawan_Mount	ERR1474577
B35	Batak	M	2	2	~3-8X	Hunter-gatherer	Hunter-gatherer	Admixed	2007	Palawan	9.6	118.5	Palawan_Mount	ERR1474574
B42	Batak	M	2	3	~3-8X	Hunter-gatherer	Hunter-gatherer	Admixed	2007	Palawan	9.6	118.5	Palawan_Mount	ERR1474575
B62	Batak	F	2	4	~3-8X	Hunter-gatherer	Hunter-gatherer	Admixed	2007	Palawan	9.6	118.5	Palawan_Mount	ERR1474576
B64	Tagbanua	F	2	6	~3-8X	Agriculturalist	Traditional farmer	Admixed	2007	Palawan	9.6	118.5	Palawan_Mount	ERR1474573
B73	Tagbanua	M	2	7	~3-8X	Agriculturalist	Traditional farmer	Admixed	2007	Palawan	9.6	118.5	Palawan_Mount	ERR1474578
B99	Batak	F	2	1	~3-8X	Hunter-gatherer	Hunter-gatherer	Admixed	2007	Palawan	9.6	118.5	Palawan_Mount	ERR1474579
Cae01	Zambal	F	1	6	~7-15X	Agriculturalist	Traditional farmer	Agriculturalist	2008	Luzon	15.38	120.27	Luzon_Mount	ERR1474568
Cae06	Zambal	F	1	5	~7-15X	Agriculturalist	Traditional farmer	Agriculturalist	2008	Luzon	15.38	120.27	Luzon_Mount	ERR1474569
Cae42	Zambal	M	1	7	~7-15X	Agriculturalist	Traditional farmer	Agriculturalist	2008	Luzon	15.38	120.27	Luzon_Mount	ERR1474570
Cae45	Zambal	M	1	8	~7-15X	Agriculturalist	Traditional farmer	Agriculturalist	2008	Luzon	15.38	120.27	Luzon_Mount	ERR1474571
Cag05	Casigurani	F	3	5	~20X	Agriculturalist	Traditional farmer	Agriculturalist	2009	Luzon	16.04	121.7	Luzon_Coast	ERR1474584
Cag09	Casigurani	M	3	6	~20X	Agriculturalist	Traditional farmer	Agriculturalist	2009	Luzon	16.04	121.7	Luzon_Coast	ERR1474585
Cag32	Casigurani	F	3	8	~20X	Agriculturalist	Traditional farmer	Agriculturalist	2009	Luzon	16.04	121.7	Luzon_Coast	ERR1474586
Cag34	Casigurani	M	3	7	~20X	Agriculturalist	Traditional farmer	Agriculturalist	2009	Luzon	16.04	121.7	Luzon_Coast	ERR1474587
SRS014468	American	F				Western control	Western control	Western control					USA	ERR1474607
SRS147126	American	F				Western control	Western control	Western control					USA	ERR1474612
SRS104275	American	F				Western control	Western control	Western control					USA	ERR1474611
SRS015055	American	F				Western control	Western control	Western control					USA	ERR1474609
SRS019120	American	M				Western control	Western control	Western control					USA	ERR1474610
SRS013942	American	M				Western control	Western control	Western control					USA	ERR1474606
SRS014692	American	M				Western control	Western control	Western control					USA	ERR1474608
VFD10	American					Western control	Western control	Western control					USA	
VFD12	American					Western control	Western control	Western control					USA	
